OrderID,OrderDate,ShipDate,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,ProductID,ProductCategory,SubCategory,ProductName,Sales,Quantity,Discount,Profit,ShippingCost,PaymentMethod,CustomerRating
105270,2023-05-13,2022-05-20,2852,Charlie Brown,Corporate,Spain,Toronto,,19922,Central,3306,Furniture,Binders,Gaming Table,3502,-1,,500,5,Credit Card,3
108525,2023-11-17,2023-06-14,2423,Alice Johnson,,Unknown,InvalidCity,Undefined,74069,South,3328,Office Supplies,IncorrectCat,,1159,5,0,,500,Cash,100
101233,2023-05-20,2023-06-25,2671,Bob Smith,Small Business,,Toronto,CA,38677,West,3387,,Phones,Binder Set,851,16,0,1000,10,Credit Card,3
107830,2022-12-10,2022-01-16,2306,David White,Small Business,France,Paris,Undefined,29808,West,3401,Toys,Lamps,Office Chair,1380,-3,50,-500,,Undefined,100
104269,2023-04-14,2023-04-11,2510,,Home Office,,Berlin,,93055,South,3806,Office Supplies,Binders,Office Chair,3835,3,5,-500,10,PayPal,4
106274,2022-04-17,2022-10-13,2118,Alice Johnson,Consumer,Germany,,FL,57354,East,3198,Office Supplies,Phones,,4035,10,5,-100,,Crypto,1
105002,2023-08-02,2022-03-19,2573,,,,Toronto,CA,49828,East,3186,Furniture,Tables,Binder Set,-43,-5,25,500,,Cash,5
104188,2023-08-13,2023-09-08,2126,David White,Small Business,Canada,New York,,72811,West,3857,Electrnics,IncorrectCat,,2505,20,5,1000,0,Bank Transfer,3
106435,2023-05-18,2022-05-13,2087,Eve Black,Small Business,,Paris,,85363,Central,3850,Electronics,Phones,Gaming Table,4390,,-10,1000,500,PayPal,100
107714,2023-08-27,2023-05-27,2207,Charlie Brown,Consumer,USA,Berlin,CA,74011,,3432,Books,,Gaming Table,846,10,5,,100,Crypto,-1
109200,2023-11-02,2022-12-10,2155,Bob Smith,,USA,Paris,ON,11962,Unknown,3473,,Chairs,iPhone 14,512,,25,100,100,Undefined,5
104500,2022-07-30,2022-11-20,2976,Eve Black,,Spain,New York,Undefined,47625,South,3557,Home Decor,Lamps,,4221,0,10,,0,PayPal,5
108618,2022-07-26,2022-11-12,2653,Alice Johnson,Consumer,USA,Paris,NY,45441,South,3598,Furniture,Chairs,,1471,-2,10,,,Credit Card,100
102859,2023-03-05,2023-02-24,2642,,Corporate,Spain,Toronto,BC,56085,Unknown,3113,Furniture,,,2352,10,5,0,500,PayPal,6
108834,2022-09-21,2023-10-11,2965,David White,Corporate,,,ON,92234,South,3266,Office Supplies,Phones,,2857,9,50,100,5,,-1
103711,2022-08-08,2023-03-27,2473,David White,Corporate,Canada,Toronto,NY,88925,,3054,Furniture,Phones,Office Chair,4233,3,25,100,5,Crypto,5
106325,2022-08-11,2022-03-09,2201,Charlie Brown,Small Business,Canada,,BC,19035,South,3209,,,Desk Lamp,2869,9,10,1000,0,Credit Card,100
108793,2022-09-01,2022-12-16,2121,Eve Black,Small Business,France,Madrid,ON,93185,West,3271,Electrnics,Lamps,Gaming Table,2369,13,0,1000,,Cash,100
101201,2023-05-21,2023-11-20,2259,Eve Black,Corporate,USA,Berlin,CA,82373,Central,3416,Office Supplies,Binders,Gaming Table,2046,11,10,0,0,Credit Card,4
103842,2022-08-01,2023-04-03,2058,Eve Black,Home Office,France,,BC,28290,Central,3620,Electrnics,Lamps,Gaming Table,3316,10,-10,0,100,Bank Transfer,
103707,2023-07-17,2023-06-09,2804,Alice Johnson,Small Business,Unknown,InvalidCity,ON,88135,,3984,Electrnics,Binders,iPhone 14,56,20,10,-100,100,Credit Card,-1
105329,2023-02-02,2023-04-28,2349,,,Canada,Paris,CA,97904,Central,3062,Home Decor,IncorrectCat,Desk Lamp,3932,4,,500,500,Crypto,100
103267,2022-02-14,2022-02-02,2757,Eve Black,Consumer,USA,Berlin,ON,22591,Central,3673,,Binders,Gaming Table,831,20,50,,0,Crypto,3
109137,2023-04-29,2023-07-03,2188,David White,Consumer,Unknown,,,55344,East,3618,,Lamps,Binder Set,998,20,50,,10,Cash,100
104406,2022-09-12,2022-02-17,2791,Bob Smith,,,New York,CA,28554,South,3785,Home Decor,Lamps,Binder Set,1963,10,,-500,5,Bank Transfer,5
106134,2023-08-26,2023-05-14,2634,Alice Johnson,Corporate,France,New York,TX,39660,East,3504,Electrnics,Lamps,Desk Lamp,3285,-3,0,,100,,
108699,2023-07-25,2022-01-21,2643,Eve Black,Corporate,Germany,Toronto,NY,29078,,3541,Toys,Chairs,Desk Lamp,2727,16,-10,100,500,Cash,6
107787,2023-03-13,2022-07-08,2122,Alice Johnson,Undefined,Germany,Berlin,Undefined,46782,South,3425,Books,Phones,Gaming Table,2015,-1,110,-500,100,Crypto,2
102391,2023-09-19,2022-08-27,2819,,Small Business,France,InvalidCity,BC,21179,East,3178,Furniture,Chairs,,1547,-5,10,-500,,Bank Transfer,6
107954,2022-07-19,2023-09-06,2143,David White,,Canada,Madrid,NY,91866,Unknown,3585,Office Supplies,Chairs,Binder Set,4771,-1,0,100,,Cash,1
109754,2022-02-23,2022-04-16,2261,Eve Black,Small Business,Unknown,Paris,,21157,Unknown,3978,Furniture,Lamps,Gaming Table,1575,5,0,-100,500,,3
104164,2023-09-30,2022-01-17,2436,Alice Johnson,Small Business,Canada,New York,BC,42636,West,3847,Electrnics,Tables,Binder Set,2012,-4,10,,100,Bank Transfer,100
105598,2023-09-12,2022-08-04,2562,David White,Corporate,Spain,New York,TX,98104,East,3433,Home Decor,Tables,Binder Set,3059,6,-10,1000,0,Credit Card,4
103176,2023-05-04,2022-09-20,2226,Eve Black,Home Office,France,Berlin,NY,58809,West,3323,Furniture,Binders,iPhone 14,1999,3,5,0,10,,6
106368,2023-02-03,2022-12-18,2754,Bob Smith,Small Business,Spain,Madrid,,20791,Central,3247,Electronics,Phones,Office Chair,3235,-4,,100,0,Cash,-1
102792,2023-12-17,2023-12-24,2107,Charlie Brown,Small Business,Spain,InvalidCity,Undefined,32375,Central,3050,Electrnics,Tables,,1135,14,0,1000,10,Credit Card,
106736,2022-02-07,2023-11-19,2396,,Home Office,Germany,InvalidCity,Undefined,40291,South,3470,Electronics,,Desk Lamp,2514,19,-10,,100,Undefined,
105818,2023-01-27,2023-01-06,2825,Bob Smith,Consumer,Unknown,New York,BC,56301,South,3297,Books,Binders,Desk Lamp,624,10,0,0,100,Cash,6
104808,2022-11-25,2022-02-19,2334,Alice Johnson,Consumer,Unknown,Berlin,ON,67098,Central,3375,Electronics,,Gaming Table,769,18,,,100,,100
105514,2022-09-01,2022-11-03,2862,Alice Johnson,Home Office,Germany,New York,,39964,Central,3521,Electrnics,,Gaming Table,4423,1,,0,10,Undefined,4
100164,2022-08-17,2023-06-18,2219,Charlie Brown,Corporate,Canada,Paris,,32552,Central,3939,Electrnics,Binders,iPhone 14,525,13,5,0,5,,2
107996,2023-02-28,2022-12-03,2411,Alice Johnson,,USA,New York,Undefined,16848,East,3220,Electrnics,Tables,iPhone 14,2505,3,-10,-100,500,PayPal,100
102049,2022-11-08,2023-08-31,2837,Alice Johnson,Home Office,Germany,New York,TX,18634,South,3819,Office Supplies,Lamps,Office Chair,3725,-3,10,-500,500,Cash,1
103068,2023-04-24,2022-12-24,2578,Eve Black,Undefined,Unknown,Toronto,,10276,Central,3871,Electronics,Tables,iPhone 14,3608,-5,50,,100,Bank Transfer,5
106879,2023-06-03,2023-10-27,2866,Eve Black,Corporate,France,Madrid,FL,50575,East,3476,Books,,iPhone 14,3215,3,25,-500,0,Undefined,4
104373,2022-07-16,2022-01-18,2260,Alice Johnson,Home Office,Germany,Madrid,ON,21209,Central,3779,Electrnics,Chairs,Binder Set,2125,13,10,0,100,Undefined,2
107709,2023-05-12,2023-05-04,2541,Bob Smith,Small Business,USA,,BC,21014,Central,3085,Electrnics,Lamps,Office Chair,2526,-3,10,,10,Credit Card,100
104970,2022-11-13,2023-12-07,2880,,,Germany,InvalidCity,ON,84709,East,3224,Electrnics,Phones,Office Chair,589,-5,,100,,Cash,3
103929,2023-05-27,2023-10-16,2282,Eve Black,Small Business,Canada,Paris,CA,45619,,3697,Electronics,IncorrectCat,Binder Set,1020,4,5,100,10,Bank Transfer,6
101330,2023-12-16,2022-10-23,2677,,Home Office,Canada,New York,Undefined,66591,,3925,Toys,,,905,-3,25,0,10,Bank Transfer,1
101695,2023-04-09,2022-01-22,2943,Eve Black,Undefined,Germany,,BC,89029,East,3034,Electronics,IncorrectCat,Binder Set,1873,20,-10,100,500,Bank Transfer,6
109202,2022-10-14,2022-02-15,2531,Charlie Brown,Consumer,Spain,Paris,ON,50246,Unknown,3828,Furniture,Binders,,4026,17,0,,500,Credit Card,100
108638,2023-10-26,2022-10-05,2730,Eve Black,Home Office,Canada,Madrid,BC,81475,Unknown,3559,Electrnics,,Binder Set,4951,1,25,0,10,PayPal,6
107371,2023-07-12,2023-10-20,2863,Alice Johnson,Consumer,Spain,Paris,FL,91697,,3128,Home Decor,Phones,Binder Set,3079,9,25,1000,0,Credit Card,3
100335,2022-08-07,2023-05-11,2996,David White,,Germany,Berlin,CA,10577,South,3663,Furniture,IncorrectCat,Gaming Table,3160,8,50,-100,10,PayPal,6
109388,2022-06-18,2023-08-08,2582,David White,Consumer,Spain,Toronto,FL,23148,Central,3761,Furniture,Lamps,iPhone 14,1474,-5,0,-500,10,Crypto,-1
105254,2022-02-20,2022-09-28,2674,Charlie Brown,Undefined,,Madrid,Undefined,18872,Unknown,3128,Books,,Office Chair,2754,1,50,-500,500,Bank Transfer,5
103100,2023-06-12,2023-04-18,2141,Bob Smith,Undefined,Canada,Toronto,FL,44131,South,3724,Electrnics,,Desk Lamp,3398,4,0,0,10,Cash,2
107242,2022-08-24,2023-10-03,2993,David White,Small Business,Germany,,ON,68978,Unknown,3600,,,iPhone 14,520,-3,50,-100,500,Bank Transfer,6
104017,2023-07-21,2022-06-30,2742,,,France,,ON,92835,Central,3053,Electronics,Tables,Desk Lamp,1065,-4,10,-500,,Bank Transfer,1
108754,2022-12-06,2022-12-23,2629,Bob Smith,,France,,FL,38807,West,3493,Books,,Binder Set,4000,-4,5,100,5,Crypto,3
109713,2022-11-18,2023-01-07,2279,Alice Johnson,Home Office,Unknown,New York,Undefined,53117,,3489,Toys,Tables,Gaming Table,3859,14,5,,10,Crypto,100
108765,2022-06-27,2022-02-26,2453,Bob Smith,Corporate,Unknown,,BC,18956,East,3385,Electrnics,Phones,,2491,8,,500,0,,1
102247,2023-03-25,2023-12-01,2370,,Corporate,France,Madrid,ON,45656,South,3350,,Tables,,1240,-2,5,1000,500,PayPal,2
108447,2022-11-28,2022-03-17,2382,David White,,Unknown,Toronto,Undefined,88664,,3836,Furniture,Binders,Gaming Table,4037,6,0,-500,5,PayPal,3
105154,2023-05-10,2023-03-23,2025,David White,Home Office,Spain,Paris,FL,49564,South,3025,Toys,Chairs,Binder Set,1058,2,0,,100,Credit Card,
108978,2023-12-30,2023-02-05,2969,Alice Johnson,Small Business,Canada,Madrid,FL,65828,West,3399,Electronics,Chairs,iPhone 14,3690,13,50,100,100,Undefined,
104944,2022-10-29,2023-06-12,2945,Eve Black,Undefined,Spain,InvalidCity,CA,47511,East,3884,Electronics,Chairs,Binder Set,61,18,25,,10,Crypto,
102212,2023-08-16,2023-09-21,2589,Alice Johnson,Consumer,Spain,InvalidCity,ON,93342,Unknown,3395,Office Supplies,Tables,,4448,-1,0,-100,5,Credit Card,100
109490,2023-03-21,2022-10-14,2691,Alice Johnson,Home Office,Germany,,BC,88016,East,3009,Electronics,Chairs,Gaming Table,1969,-5,5,0,0,,2
108230,2022-09-14,2022-05-02,2383,Bob Smith,Consumer,Spain,Madrid,Undefined,91953,Central,3931,Home Decor,Lamps,Binder Set,4179,0,5,-100,10,Cash,2
105651,2023-05-14,2023-08-12,2784,Alice Johnson,Home Office,France,Toronto,TX,66492,Unknown,3420,Electronics,Lamps,Binder Set,-42,-1,50,0,100,Credit Card,4
107946,2022-06-29,2023-10-09,2380,Charlie Brown,,France,Madrid,Undefined,24985,East,3545,Home Decor,,,4195,9,-10,500,0,Credit Card,4
105138,2022-11-04,2022-02-09,2222,Alice Johnson,Consumer,,New York,CA,16091,West,3188,Electrnics,Chairs,Binder Set,3671,17,25,1000,500,Crypto,1
106874,2022-04-01,2022-09-19,2129,Alice Johnson,Consumer,Unknown,,,99791,East,3085,Electronics,IncorrectCat,Binder Set,1034,15,10,0,10,Undefined,5
108909,2022-01-12,2022-04-01,2455,Charlie Brown,Small Business,Germany,InvalidCity,,70626,West,3852,Electrnics,,Binder Set,3413,19,0,-100,0,,6
109723,2023-10-22,2023-09-30,2361,David White,Consumer,Unknown,InvalidCity,,59502,East,3472,Home Decor,IncorrectCat,iPhone 14,252,18,10,-100,10,Undefined,4
107958,2023-09-26,2022-02-08,2151,Alice Johnson,Home Office,Spain,Toronto,CA,31045,South,3133,Toys,Tables,iPhone 14,-82,-1,-10,0,0,Undefined,4
103384,2022-12-10,2022-04-17,2888,,Undefined,Unknown,New York,NY,58269,East,3708,Electrnics,Lamps,iPhone 14,173,-5,0,500,100,Cash,3
103349,2023-06-03,2022-07-12,2105,David White,,Unknown,Madrid,TX,98026,,3513,Electrnics,Phones,,1961,3,110,1000,5,Credit Card,5
105846,2023-05-11,2022-05-02,2694,Eve Black,Undefined,Unknown,,Undefined,74499,Central,3305,Electronics,,Desk Lamp,3095,-3,25,0,5,PayPal,
105762,2022-05-17,2023-04-14,2936,,Corporate,France,Berlin,NY,81883,West,3416,Home Decor,Chairs,Desk Lamp,3994,-3,-10,-500,100,Cash,-1
107773,2022-12-05,2023-12-25,2364,David White,Corporate,Unknown,Toronto,BC,89765,South,3510,Books,Chairs,iPhone 14,2987,17,,100,100,,3
108797,2023-02-23,2023-01-04,2706,Charlie Brown,Corporate,USA,,BC,20813,Central,3041,Furniture,Phones,Gaming Table,2431,17,25,-100,5,Credit Card,1
109402,2023-03-25,2022-12-14,2659,Alice Johnson,Undefined,France,New York,ON,42505,West,3048,Electronics,IncorrectCat,Gaming Table,889,7,-10,,0,PayPal,-1
108723,2023-10-19,2023-08-03,2742,Charlie Brown,Consumer,USA,Paris,TX,83240,South,3806,Books,Lamps,,913,10,5,-100,5,PayPal,4
102697,2022-03-31,2022-11-12,2417,Bob Smith,Home Office,USA,,ON,30822,South,3070,Furniture,IncorrectCat,Gaming Table,1849,3,25,,5,Credit Card,-1
100916,2023-02-08,2022-04-07,2388,Bob Smith,Corporate,,,FL,11617,Central,3434,Office Supplies,Chairs,Office Chair,4629,11,5,100,5,,1
105513,2022-03-25,2023-06-04,2337,Eve Black,Consumer,Germany,Toronto,NY,71038,Unknown,3505,Books,Lamps,Binder Set,2236,-4,0,100,,Crypto,2
104731,2023-02-17,2022-09-16,2461,David White,Corporate,,Berlin,FL,30400,,3046,Home Decor,IncorrectCat,Desk Lamp,2490,14,10,500,0,PayPal,2
101561,2023-04-26,2023-12-06,2789,David White,Consumer,USA,Madrid,Undefined,14360,South,3030,Books,Binders,Binder Set,3879,15,0,1000,0,,2
103383,2023-01-27,2023-03-20,2977,David White,Undefined,Germany,Paris,CA,61384,East,3808,,Phones,Desk Lamp,3899,12,50,500,,,1
102465,2022-02-01,2022-11-26,2261,Alice Johnson,Undefined,France,InvalidCity,CA,19526,East,3064,Electrnics,Chairs,Binder Set,4752,19,-10,,0,,3
102994,2022-12-26,2023-07-12,2264,David White,Undefined,Germany,Paris,CA,81931,Central,3253,,Lamps,Desk Lamp,1148,-5,25,1000,5,,4
108108,2023-06-14,2022-08-05,2919,David White,Small Business,Germany,New York,Undefined,54037,West,3625,Books,Binders,Binder Set,-163,20,25,,10,PayPal,-1
104551,2023-08-01,2023-05-22,2092,Eve Black,,France,,,16359,East,3695,Office Supplies,IncorrectCat,Binder Set,4080,1,-10,-100,0,Undefined,-1
105596,2023-07-11,2023-05-17,2078,Charlie Brown,,USA,Paris,FL,17968,Unknown,3266,Books,Chairs,Gaming Table,2273,14,25,0,0,Undefined,
101782,2022-12-06,2022-08-19,2872,David White,Consumer,Germany,New York,Undefined,49954,,3521,Electronics,Chairs,Gaming Table,2362,6,5,,5,Credit Card,
100935,2022-09-08,2023-04-27,2064,Charlie Brown,Home Office,France,Paris,CA,67108,Central,3358,Electronics,Chairs,,4596,-4,-10,-500,,PayPal,2
101721,2023-04-16,2022-05-30,2384,Charlie Brown,,Germany,,ON,81768,Central,3310,Electronics,Tables,Office Chair,2169,9,25,-100,0,Crypto,4
107743,2022-04-03,2022-01-10,2203,Alice Johnson,,Unknown,Paris,Undefined,42549,Unknown,3798,Electronics,Tables,Office Chair,-135,0,25,-500,5,Bank Transfer,2
102479,2023-12-04,2022-02-02,2415,,Corporate,Unknown,Paris,NY,61242,,3510,Office Supplies,Lamps,,388,11,-10,-500,100,Undefined,2
102884,2023-02-27,2022-02-09,2494,Eve Black,Corporate,,Berlin,CA,38704,South,3452,Electronics,Lamps,iPhone 14,394,10,5,0,,Undefined,1
104883,2022-08-19,2022-07-12,2469,Eve Black,Small Business,Unknown,Toronto,Undefined,62875,,3225,Home Decor,Tables,,4111,6,,1000,500,Bank Transfer,5
102329,2022-11-12,2023-06-09,2992,Alice Johnson,Undefined,Canada,New York,Undefined,65331,Central,3274,,Lamps,iPhone 14,678,4,10,100,0,Credit Card,6
107235,2022-05-09,2023-08-16,2794,Eve Black,Home Office,USA,Berlin,ON,31243,Unknown,3844,,Phones,Desk Lamp,3059,16,,0,5,Undefined,1
108858,2023-03-12,2022-06-28,2022,David White,Home Office,France,Madrid,TX,92033,,3262,Electronics,Lamps,Desk Lamp,3131,7,10,0,100,Crypto,2
109832,2023-05-21,2023-01-11,2077,Charlie Brown,Home Office,Canada,InvalidCity,NY,56621,South,3059,Furniture,Chairs,,3561,16,10,0,,Crypto,100
101496,2022-05-04,2023-10-29,2181,Eve Black,Consumer,Germany,Berlin,Undefined,39600,,3644,Office Supplies,Binders,Binder Set,262,,0,500,500,Cash,
102603,2023-10-30,2023-08-30,2929,David White,Home Office,Spain,Berlin,TX,42160,South,3325,,Lamps,iPhone 14,2489,9,50,500,5,Crypto,2
106936,2022-10-23,2023-06-27,2030,,,France,,CA,73769,Unknown,3833,,Lamps,iPhone 14,1412,4,-10,0,10,Credit Card,100
105635,2023-03-22,2023-08-22,2340,,,Canada,,ON,62151,East,3147,Toys,Chairs,Desk Lamp,4045,11,50,-100,100,PayPal,6
104714,2023-11-28,2023-01-06,2815,David White,Consumer,Germany,InvalidCity,,92185,Central,3836,Electronics,IncorrectCat,Desk Lamp,3406,-2,,0,0,Cash,6
103219,2022-10-05,2023-10-02,2696,David White,Corporate,France,Madrid,FL,56031,Central,3648,Furniture,Chairs,Desk Lamp,1613,-4,-10,100,5,Undefined,2
103402,2022-05-16,2022-07-26,2234,Alice Johnson,Consumer,,,,73636,,3169,Office Supplies,Phones,Desk Lamp,890,19,0,500,0,Crypto,
102266,2022-06-17,2023-08-21,2477,Charlie Brown,Consumer,Germany,,NY,78582,East,3226,Toys,Binders,Office Chair,4097,0,25,1000,500,PayPal,2
103963,2022-06-09,2022-03-07,2898,Alice Johnson,Home Office,Canada,Madrid,BC,38616,,3702,Furniture,,iPhone 14,746,13,110,1000,10,Credit Card,5
108113,2022-02-24,2023-04-27,2499,David White,Consumer,Germany,Madrid,NY,31939,East,3156,Office Supplies,Lamps,Binder Set,1130,-1,110,500,,Credit Card,100
104252,2023-09-24,2023-10-31,2867,Bob Smith,Undefined,Germany,,BC,54195,West,3110,Electronics,Chairs,Gaming Table,2608,16,5,-100,500,Credit Card,1
103447,2022-05-02,2023-03-30,2870,Eve Black,Corporate,France,Berlin,,20871,South,3649,Furniture,Phones,Binder Set,3895,9,50,500,5,Crypto,2
102018,2022-05-07,2022-12-06,2406,Alice Johnson,,Germany,Toronto,BC,89853,Central,3135,Books,Phones,,1207,5,10,-500,100,Cash,100
101413,2023-01-17,2022-06-11,2916,Alice Johnson,Small Business,France,,BC,68396,East,3136,Electronics,Phones,Office Chair,1206,4,25,,500,,-1
100768,2022-01-08,2022-02-27,2626,Eve Black,Small Business,,Madrid,NY,89740,West,3893,Books,Phones,,1513,-1,0,-500,10,PayPal,-1
101970,2022-12-19,2022-08-20,2340,Eve Black,Undefined,France,Toronto,CA,72881,Central,3579,Home Decor,Lamps,Office Chair,3378,4,,-100,0,,-1
100553,2023-01-11,2023-05-17,2902,Eve Black,Corporate,,Toronto,ON,45372,Central,3628,Toys,Binders,Gaming Table,1162,-1,,500,500,Crypto,4
101082,2022-01-21,2022-12-11,2331,David White,Home Office,Germany,New York,BC,13921,Central,3089,Furniture,Lamps,Gaming Table,155,18,0,-100,500,Cash,-1
102819,2022-09-08,2022-08-20,2711,Charlie Brown,,Canada,,,41475,Central,3716,Electronics,Lamps,iPhone 14,4557,0,-10,-500,5,PayPal,6
109267,2023-06-05,2022-07-01,2987,David White,Consumer,France,Toronto,CA,75408,Central,3832,Office Supplies,IncorrectCat,Desk Lamp,2617,10,-10,500,10,Crypto,6
108947,2023-12-19,2023-09-30,2059,Bob Smith,Consumer,,,,49799,,3263,Books,,Binder Set,2142,16,0,0,500,Crypto,2
104899,2023-08-17,2023-07-04,2219,Bob Smith,Consumer,USA,InvalidCity,FL,60045,,3737,Home Decor,Binders,Desk Lamp,1476,-2,110,1000,5,Undefined,100
107688,2022-08-20,2022-11-23,2898,Alice Johnson,Consumer,Canada,Berlin,TX,91050,East,3358,Toys,Phones,Binder Set,3558,,0,,500,Cash,3
108627,2022-07-11,2023-09-16,2482,,Small Business,Unknown,Toronto,CA,44248,South,3278,Electrnics,Phones,iPhone 14,3775,16,110,100,500,Credit Card,2
109721,2022-12-01,2023-09-20,2187,Charlie Brown,Corporate,USA,Paris,Undefined,18668,Central,3077,Toys,IncorrectCat,iPhone 14,3187,1,110,500,500,Crypto,3
106209,2023-12-02,2022-12-28,2120,Bob Smith,Home Office,Unknown,Paris,,66224,Unknown,3654,Home Decor,Phones,iPhone 14,4939,16,-10,,,Bank Transfer,100
100650,2022-09-08,2022-06-03,2112,Eve Black,Corporate,,Madrid,ON,65367,Central,3368,Books,Tables,Office Chair,3837,1,50,,100,,6
105200,2023-05-02,2022-10-21,2602,David White,Undefined,,Paris,BC,32600,East,3529,Office Supplies,Binders,,1564,10,0,-100,,Cash,2
107726,2023-09-07,2023-12-01,2151,Eve Black,Small Business,Germany,InvalidCity,BC,20009,West,3382,,Phones,Desk Lamp,1224,-1,-10,-100,500,Undefined,
109381,2023-09-08,2023-02-11,2964,Bob Smith,Home Office,Unknown,Toronto,BC,99976,,3394,Electrnics,Binders,Gaming Table,4864,9,,,100,PayPal,5
103040,2022-03-27,2023-04-11,2723,Alice Johnson,Undefined,USA,New York,ON,78326,South,3209,Furniture,Lamps,Binder Set,587,2,25,1000,0,PayPal,1
101606,2022-06-11,2023-12-22,2498,,Small Business,Unknown,Paris,BC,82451,West,3511,Furniture,Lamps,Office Chair,3671,10,50,-500,0,PayPal,100
100608,2023-05-15,2023-07-24,2062,Alice Johnson,,France,Berlin,,84565,Unknown,3323,Electronics,Phones,,1797,17,-10,0,0,Cash,4
104472,2022-11-22,2022-03-31,2453,Bob Smith,Small Business,France,Berlin,TX,13068,East,3925,Furniture,,Gaming Table,3037,15,10,-100,10,Credit Card,
105747,2022-02-10,2023-03-10,2197,Charlie Brown,Corporate,USA,Paris,,12474,Central,3118,Home Decor,Chairs,,249,15,,-500,0,,-1
105466,2023-05-26,2023-12-11,2353,,,Spain,Madrid,NY,54767,South,3870,Toys,,Binder Set,1636,3,0,1000,10,Undefined,3
103352,2023-10-11,2023-08-10,2248,Alice Johnson,Undefined,USA,,NY,64939,South,3202,,Binders,iPhone 14,2215,16,0,,10,Crypto,1
103974,2022-11-06,2023-09-18,2420,Bob Smith,Home Office,Germany,Toronto,TX,70752,,3601,Electrnics,Tables,Gaming Table,213,1,5,500,10,Bank Transfer,100
105981,2022-03-30,2023-05-21,2440,Eve Black,Small Business,Germany,Berlin,CA,48172,Unknown,3798,Home Decor,Phones,Office Chair,4864,-2,-10,100,100,Cash,6
103800,2023-10-06,2023-05-02,2077,Charlie Brown,Undefined,Germany,New York,Undefined,72625,West,3377,Electrnics,,Binder Set,3838,15,-10,-100,100,Credit Card,-1
